"Story","Title","Result","Date","Stability","Duration (s)"
"Check on application status","Application status end-point","SUCCESS","2021-05-20T09:55:14.572338+01:00[Europe/London]","0.0","2.62"
"Record a new trade","Each trade has a unique ID","SUCCESS","2021-05-20T09:55:17.208145+01:00[Europe/London]","0.0","0.5"
